works of John Hunter / with notes ; ed. by James F. Palmer
Systematisches Handbuch der Zahnheilkunde / von Georg Carabelli
"Mechanical dentistry : a practical treatise on the construction of the various kinds of artificial dentures : comprising also useful formulae, tables, and receipts for gold plate, clasps, solders, etc. / by Charles Hunter"
"odontotechnie ou l'art du dentiste : poème didactique et descriptif en quatre chants, dédié aux dames / Julien Marmont"
Napoléon 1er et ses dentistes / Xavier Riaud ; préface du Dr Philippe Pirnay
smile stealers : the fine + foul art of dentistry / Richard Barnett
Orale : die Mundhöhle in Kulturgeschichte und Zahnmedizin / Hartmut Böhme & Beate Slominski (Hg.)
clou de girofle en médecine bucco-dentaire / Gilles Gros
long climb : from barber-surgeons to doctors of dental surgery / Philias Roy Garant



De la prothèse immédiate appliquée à la résection des maxillaires : rhinoplastie sur appareil prothétique permanent : restauration de la face / par Claude Martin ; préf. de Ollier
résultats éloignés de la prothèse immédiate dans les résections du maxillaire inférieur / par Claude Martin
De la simplification des méthodes de traitement des fractures du maxillaire inférieur / par Claude Martin
De l'opportunité de l'emploi des implants métalliques sous-périostés en odonto-stomatologie : étude analytique et critique des méthodes / Yves Kollender
Studium der schweizerischen Zahnärzte in den USA und ihr Einfluss auf die schweizerische Zahnheilkunde um die Jahrhundertwende / von Rudolf Schwitzer
"urgence en odonto-stomatologie / R. Ackermann, L. Pompians-Miniac ; préf. de Pierre Cernéa ; [sous les auspices de l'] Association d'enseignement odonto-stomatologique"
Chirurgie dentaire et nazisme / Xavier Riaud ; préface de Thierry Feral
Histoire et épistémologie de l'anatomie et de la physiologie en art dentaire : de l'Antiquité à la fin du XXe siècle / Gilles Gros
Compassion and courage : Australian doctors and dentists in the Great War / edited by Jacqueline Healy
Petit lexique bucco-dentaire de proverbes et autres expressions / Thomas Ferrante ; préface du Docteur Xavier Riaud


Atlas-manuel des maladies des dents et de la bouche / par Gustave Preiswerk ; éd. franç. par Joseph Chompret
Aide-mémoire du chirurgien-dentiste / Paul Dubois
zahnärztlichen Lehren des Galenos / Curt Lindner
Dentistry then and now / by J. Menzies Campbell
"Dictionnaire des termes odonto-stomatologiques / L. Verchere, P. Budin ; avec la collab. de J.-P. Santoro, M. Verchere"
Cent ans de médecine dentaire à Genève : 1881-1981 / documents rassemblés par Roger Joris et Giorgio Cimasoni
Caractéristiques dento-crânio-faciales des Homininés / Elsa Combes Fruitet
Sainte Apolline : sainte patronne des dentistes et de ceux qui ont mal aux dents / Apolline Trioulaire
smile revolution in eighteenth century Paris / Colin Jones
Petit dictionnaire ironique et politiquement incorrect de l'art dentaire : (à l'usage des patients et des praticiens) / Marc Bert ; Frédéric Charpentier ... [et al.]



Geschichte der Zahnheilkunde / von Karl Sudhoff
évolution de l'art dentaire : de l'Antiquité à nos jours / par Raymond Boissier ; préf. de Laignel-Lavastine
Atlas der Anatomie des Kopfes : mit einem Anhang über Brust- und Bauchhöhle / Kurt Auer
Entwicklung des zahnärztlichen Berufes und Standes im 19. Jahrhundert : unter besonderer Berücksichtigung der Verhältnisse in Zürich / von Johann Jost
"Bildgeschichte der Zahnheilkunde : Zeugnisse aus 5 Jahrtausenden = Histoire de la médecine dentaire par l'image : témoignages provenant de 5000 ans = Pictorial history of dentistry : testimonies of 5000 years / Curt Proskauer, Fritz H. Witt ; responsable de la trad. française: H.W. Methorst ; responsible for the English transl.: Phoebe Cave"
"Figures du médecin-dentiste dans l'iconographie contemporaine / Valérie Gorin, Vincent Barras, Thierry Delessert"
"Thomas W. Evans (1823-1897), le dentiste de Napoléon III / Henri Lamendin ; préambule du Docteur Jean-Claude Tavernier ; préface du Docteur Xavier Riaud"
"Anatomie tête et cou en odontostomatologie / sous la direction de Eric W. Baker ; basé sur les travaux de Michael Schuenke, Erik Schulte, Udo Schumacher ; traduction de l'anglais par Pierre Bourjat, ... ; illustrations de Markus Voll, Karl Wesker"
Analyses de laboratoire en odontostomatologie [electronic resource].
Horace Wells (1815-1848) et Villiam [i.e. William] T.G. Morton (1819-1868) : la rencontre improbable de deux précurseurs de l'anesthésie / Mathieu Bertrand ; préface du docteur Xavier Riaud


Zahnheilkunde im Neunzehnten Jahrhundert / Hedvig Lidforss Strömgren
story of dentistry : from the dawn of civilization to the present / by M. D. K. Bremner
"Allgemeine Chirurgie : in der Zahn-, Mund- und Kieferheilkunde / von Georg Axhausen"
Notice sur l'histoire de l'art dentaire : depuis les temps les plus reculés jusqu'a nos jours : suivie du catalogue de l'exposition rétrospective de l'art dentaire organisée par l'École dentaire de Paris à l'Exposition universelle de 1900 / par L. Lemerle
history of dentistry : from the most ancient times until the end of the eighteenth century / by Vincenzo Guerini
Dental bibliography : a standard reference list of books of dentistry published throughout the world from 1536 to 1885 / arranged chronologically ... compiled by C. Geo. Crowley
Odonto-stomatologie médico-légale / par Gösta Gustafson ; préf. de Keith Simpson ; trad. et adaptation française de H. Brabant et R.M. De Smet
Bibliographie française de l'art dentaire / par Th. David
François-Joseph Talma (1763-1826) : dentiste et acteur favori de Napoléon Ier / Henri Lamendin
Charles-F. Vallotton : le dentiste des célébrités : la vie discrète d'un médecin lausannois au XXe siècle / Jacques Vallotton
"Odontologie médico-légale et serial killers : la dent qui en savait trop... / Xavier Riaud, Philippe Brousseau"
